,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647
1,1,20.26086956521739,20.26086956521739,20.420289855072465,20.26086956521739,20.26086956521739,20.565217391304348
2,2,19.474452554744527,19.474452554744527,20.35036496350365,19.532846715328468,19.532846715328468,20.0
3,3,18.75,18.75,19.764705882352942,18.75,18.75,19.544117647058822
4,4,18.177777777777777,18.192592592592593,19.303703703703704,18.177777777777777,18.237037037037037,19.037037037037038
5,5,17.62686567164179,17.64179104477612,18.925373134328357,17.671641791044777,17.686567164179106,18.52238805970149
6,6,17.082706766917294,17.142857142857142,18.42105263157895,17.127819548872182,17.142857142857142,18.330827067669173
7,7,16.545454545454547,16.59090909090909,17.90909090909091,16.59090909090909,16.606060606060606,17.954545454545453
8,8,16.0,16.091603053435115,17.34351145038168,16.061068702290076,16.198473282442748,17.801526717557252
9,9,15.492307692307692,15.553846153846154,16.892307692307693,15.6,15.76923076923077,17.661538461538463
10,10,15.007751937984496,15.023255813953488,16.372093023255815,15.131782945736434,15.581395348837209,17.72093023255814
11,11,14.515625,14.546875,16.140625,14.609375,15.359375,17.015625
12,12,14.047244094488189,14.062992125984252,15.68503937007874,14.204724409448819,15.244094488188976,16.15748031496063
13,13,13.603174603174603,13.603174603174603,15.412698412698413,13.825396825396826,15.079365079365079,15.412698412698413
14,14,13.168,13.168,15.248,13.456,15.008,14.832
15,15,12.758064516129032,12.790322580645162,14.387096774193548,13.209677419354838,14.838709677419354,14.32258064516129
16,16,12.357723577235772,12.373983739837398,13.626016260162602,12.796747967479675,14.699186991869919,13.869918699186991
17,17,11.967213114754099,11.98360655737705,13.098360655737705,12.672131147540984,14.754098360655737,13.508196721311476
18,18,11.570247933884298,11.603305785123966,13.008264462809917,12.429752066115702,14.62809917355372,12.991735537190083
19,19,11.216666666666667,11.266666666666667,12.916666666666666,12.183333333333334,14.633333333333333,12.55
20,20,10.873949579831933,10.873949579831933,12.873949579831933,12.067226890756302,14.655462184873949,12.201680672268907
21,21,10.525423728813559,10.542372881355933,12.457627118644067,11.966101694915254,14.169491525423728,11.796610169491526
22,22,10.188034188034187,10.239316239316238,12.051282051282051,11.538461538461538,13.658119658119658,11.658119658119658
23,23,9.89655172413793,9.89655172413793,11.724137931034482,11.03448275862069,13.258620689655173,11.413793103448276
24,24,9.6,9.6,11.2,10.591304347826087,12.782608695652174,11.147826086956522
25,25,9.31578947368421,9.31578947368421,11.105263157894736,10.24561403508772,12.385964912280702,11.0
26,26,9.026548672566372,9.061946902654867,10.920353982300885,9.876106194690266,12.0,10.56637168141593
27,27,8.75,8.785714285714286,10.696428571428571,9.517857142857142,11.767857142857142,10.089285714285714
28,28,8.504504504504505,8.504504504504505,10.45045045045045,9.17117117117117,11.423423423423424,9.81981981981982
29,29,8.254545454545454,8.272727272727273,10.163636363636364,8.854545454545455,11.163636363636364,9.527272727272727
30,30,8.0,8.01834862385321,9.944954128440367,8.513761467889909,10.770642201834862,9.302752293577981
31,31,7.7592592592592595,7.796296296296297,9.851851851851851,8.296296296296296,10.314814814814815,8.981481481481481
32,32,7.5327102803738315,7.5514018691588785,9.719626168224298,8.037383177570094,9.981308411214954,8.74766355140187
33,33,7.320754716981132,7.320754716981132,9.264150943396226,7.754716981132075,9.735849056603774,8.377358490566039
34,34,7.123809523809523,7.123809523809523,8.971428571428572,7.619047619047619,9.40952380952381,8.076190476190476
35,35,6.923076923076923,6.923076923076923,8.461538461538462,7.3076923076923075,9.153846153846153,7.75
36,36,6.737864077669903,6.737864077669903,8.058252427184467,7.242718446601942,8.815533980582524,7.436893203883495
37,37,6.568627450980392,6.568627450980392,7.686274509803922,7.1568627450980395,8.568627450980392,7.137254901960785
38,38,6.415841584158416,6.415841584158416,7.3861386138613865,7.128712871287129,8.138613861386139,6.930693069306931
39,39,6.26,6.26,7.32,6.86,8.06,6.66
40,40,6.101010101010101,6.121212121212121,7.232323232323233,6.646464646464646,8.0,6.424242424242424
41,41,5.959183673469388,5.959183673469388,7.1020408163265305,6.448979591836735,7.6938775510204085,6.26530612244898
42,42,5.814432989690721,5.835051546391752,6.783505154639175,6.268041237113402,7.402061855670103,6.144329896907217
43,43,5.666666666666667,5.6875,6.479166666666667,6.041666666666667,7.125,6.020833333333333
44,44,5.536842105263158,5.536842105263158,6.189473684210526,5.894736842105263,6.863157894736842,5.7894736842105265
45,45,5.404255319148936,5.404255319148936,5.914893617021277,5.723404255319149,6.659574468085107,5.680851063829787
46,46,5.268817204301075,5.268817204301075,5.849462365591398,5.56989247311828,6.43010752688172,5.526881720430108
47,47,5.130434782608695,5.1521739130434785,5.804347826086956,5.413043478260869,6.173913043478261,5.369565217391305
48,48,5.010989010989011,5.032967032967033,5.6923076923076925,5.274725274725275,6.0,5.208791208791209
49,49,4.888888888888889,4.888888888888889,5.6,5.133333333333334,5.7555555555555555,5.088888888888889
50,50,4.764044943820225,4.764044943820225,5.48314606741573,4.98876404494382,5.573033707865169,4.943820224719101
51,51,4.636363636363637,4.636363636363637,5.386363636363637,4.863636363636363,5.409090909090909,4.818181818181818
52,52,4.505747126436781,4.505747126436781,5.241379310344827,4.735632183908046,5.241379310344827,4.689655172413793
53,53,4.395348837209302,4.395348837209302,5.116279069767442,4.604651162790698,5.069767441860465,4.558139534883721
54,54,4.2823529411764705,4.2823529411764705,5.011764705882353,4.470588235294118,4.91764705882353,4.423529411764706
55,55,4.166666666666667,4.190476190476191,4.880952380952381,4.357142857142857,4.785714285714286,4.309523809523809
56,56,4.072289156626506,4.096385542168675,4.771084337349397,4.240963855421687,4.650602409638554,4.192771084337349
57,57,3.975609756097561,4.0,4.682926829268292,4.121951219512195,4.512195121951219,4.097560975609756
58,58,3.876543209876543,3.9012345679012346,4.469135802469136,4.0246913580246915,4.37037037037037,4.0
59,59,3.775,3.775,4.275,3.925,4.225,3.9
60,60,3.670886075949367,3.6962025316455698,4.10126582278481,3.8227848101265822,4.10126582278481,3.7974683544303796
61,61,3.58974358974359,3.6153846153846154,4.076923076923077,3.717948717948718,3.9743589743589745,3.6923076923076925
62,62,3.5064935064935066,3.5324675324675323,4.0,3.6363636363636362,3.8701298701298703,3.5844155844155843
63,63,3.4210526315789473,3.4473684210526314,3.9473684210526314,3.5526315789473686,3.763157894736842,3.473684210526316
64,64,3.3333333333333335,3.3333333333333335,3.92,3.466666666666667,3.6533333333333333,3.3866666666666667
65,65,3.2432432432432434,3.2432432432432434,3.7837837837837838,3.3783783783783785,3.5405405405405403,3.2972972972972974
66,66,3.1506849315068495,3.1506849315068495,3.780821917808219,3.287671232876712,3.452054794520548,3.2054794520547945
67,67,3.0555555555555554,3.0555555555555554,3.6666666666666665,3.1944444444444446,3.361111111111111,3.111111111111111
68,68,2.9859154929577465,2.9859154929577465,3.6901408450704225,3.0985915492957745,3.267605633802817,3.0140845070422535
69,69,2.914285714285714,2.914285714285714,3.5428571428571427,3.0,3.1714285714285713,2.914285714285714
70,70,2.8405797101449277,2.8405797101449277,3.420289855072464,2.927536231884058,3.072463768115942,2.8405797101449277
71,71,2.764705882352941,2.764705882352941,3.323529411764706,2.8529411764705883,2.9705882352941178,2.764705882352941
72,72,2.6865671641791047,2.6865671641791047,3.343283582089552,2.7761194029850746,2.8955223880597014,2.6865671641791047
73,73,2.606060606060606,2.606060606060606,3.272727272727273,2.696969696969697,2.8181818181818183,2.606060606060606
74,74,2.523076923076923,2.523076923076923,3.230769230769231,2.6153846153846154,2.7384615384615385,2.523076923076923
75,75,2.4375,2.4375,3.21875,2.53125,2.65625,2.4375
76,76,2.380952380952381,2.380952380952381,3.2698412698412698,2.4444444444444446,2.5714285714285716,2.3492063492063493
77,77,2.3225806451612905,2.3225806451612905,3.129032258064516,2.3548387096774195,2.4838709677419355,2.2903225806451615
78,78,2.262295081967213,2.262295081967213,3.081967213114754,2.2950819672131146,2.3934426229508197,2.2295081967213113
79,79,2.2,2.2,3.1,2.2333333333333334,2.3,2.1666666666666665
80,80,2.135593220338983,2.135593220338983,3.016949152542373,2.169491525423729,2.23728813559322,2.1016949152542375
81,81,2.0689655172413794,2.0689655172413794,2.896551724137931,2.103448275862069,2.1724137931034484,2.0344827586206895
82,82,2.0,2.0,2.7719298245614037,2.0350877192982457,2.1052631578947367,1.9649122807017543
83,83,1.9285714285714286,1.9285714285714286,2.75,1.9642857142857142,2.0357142857142856,1.8928571428571428
84,84,1.8545454545454545,1.8545454545454545,2.7636363636363637,1.8909090909090909,1.9636363636363636,1.8181818181818181
85,85,1.7777777777777777,1.7777777777777777,2.7777777777777777,1.8148148148148149,1.8888888888888888,1.7407407407407407
86,86,1.6981132075471699,1.6981132075471699,2.6792452830188678,1.7358490566037736,1.8113207547169812,1.6981132075471699
87,87,1.6538461538461537,1.6538461538461537,2.6538461538461537,1.6538461538461537,1.7307692307692308,1.6538461538461537
88,88,1.607843137254902,1.607843137254902,2.588235294117647,1.607843137254902,1.6862745098039216,1.607843137254902
89,89,1.56,1.56,2.56,1.56,1.64,1.56
90,90,1.510204081632653,1.510204081632653,2.5714285714285716,1.510204081632653,1.5918367346938775,1.510204081632653
91,91,1.4583333333333333,1.4583333333333333,2.5416666666666665,1.4583333333333333,1.5416666666666667,1.4583333333333333
92,92,1.4042553191489362,1.4042553191489362,2.5531914893617023,1.4042553191489362,1.4893617021276595,1.4042553191489362
93,93,1.3478260869565217,1.3478260869565217,2.4782608695652173,1.3478260869565217,1.434782608695652,1.3478260869565217
94,94,1.288888888888889,1.288888888888889,2.533333333333333,1.288888888888889,1.3777777777777778,1.288888888888889
95,95,1.2272727272727273,1.2272727272727273,2.409090909090909,1.2272727272727273,1.3181818181818181,1.2272727272727273
96,96,1.1627906976744187,1.1627906976744187,2.372093023255814,1.1627906976744187,1.255813953488372,1.1627906976744187
97,97,1.0952380952380953,1.0952380952380953,2.4285714285714284,1.0952380952380953,1.1904761904761905,1.0952380952380953
98,98,1.024390243902439,1.024390243902439,2.341463414634146,1.024390243902439,1.1219512195121952,1.024390243902439
99,99,0.95,0.95,2.1,0.95,1.05,0.95
100,100,0.8717948717948718,0.9230769230769231,1.8974358974358974,0.8717948717948718,0.9743589743589743,0.8717948717948718
101,101,0.8421052631578947,0.9473684210526315,1.8421052631578947,0.8421052631578947,0.8947368421052632,0.8421052631578947
102,102,0.8108108108108109,0.918918918918919,1.6756756756756757,0.8108108108108109,0.8648648648648649,0.8108108108108109
103,103,0.7777777777777778,0.8888888888888888,1.5555555555555556,0.7777777777777778,0.8333333333333334,0.7777777777777778
104,104,0.7428571428571429,0.8571428571428571,1.4285714285714286,0.7428571428571429,0.8,0.7428571428571429
105,105,0.7058823529411765,0.7647058823529411,1.3529411764705883,0.7058823529411765,0.7647058823529411,0.7058823529411765
106,106,0.6666666666666666,0.7272727272727273,1.3333333333333333,0.6666666666666666,0.7272727272727273,0.6666666666666666
107,107,0.625,0.6875,1.375,0.625,0.6875,0.625
108,108,0.5806451612903226,0.7096774193548387,1.1612903225806452,0.5806451612903226,0.6451612903225806,0.5806451612903226
109,109,0.5333333333333333,0.6666666666666666,1.0,0.5333333333333333,0.6,0.5333333333333333
110,110,0.4827586206896552,0.6206896551724138,1.0344827586206897,0.4827586206896552,0.5517241379310345,0.4827586206896552
111,111,0.42857142857142855,0.6428571428571429,1.0714285714285714,0.42857142857142855,0.5,0.42857142857142855
112,112,0.37037037037037035,0.6666666666666666,0.9629629629629629,0.37037037037037035,0.4444444444444444,0.37037037037037035
113,113,0.3076923076923077,0.6923076923076923,1.0,0.3076923076923077,0.38461538461538464,0.3076923076923077
114,114,0.24,0.72,0.96,0.24,0.32,0.24
115,115,0.16666666666666666,0.75,0.9166666666666666,0.16666666666666666,0.25,0.16666666666666666
116,116,0.08695652173913043,0.6956521739130435,0.9565217391304348,0.08695652173913043,0.17391304347826086,0.08695652173913043
117,117,0.0,0.6363636363636364,0.8181818181818182,0.0,0.09090909090909091,0.0
118,118,0.0,0.6666666666666666,0.7619047619047619,0.0,0.0,0.0
119,119,0.0,0.6,0.7,0.0,0.0,0.0
120,120,0.0,0.5263157894736842,0.631578947368421,0.0,0.0,0.0
121,121,0.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0
122,122,0.0,0.47058823529411764,0.5882352941176471,0.0,0.0,0.0
123,123,0.0,0.375,0.625,0.0,0.0,0.0
124,124,0.0,0.4,0.6666666666666666,0.0,0.0,0.0
125,125,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0
126,126,0.0,0.46153846153846156,0.6153846153846154,0.0,0.0,0.0
127,127,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
128,128,0.0,0.36363636363636365,0.5454545454545454,0.0,0.0,0.0
129,129,0.0,0.2,0.6,0.0,0.0,0.0
130,130,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0
131,131,0.0,0.25,0.25,0.0,0.0,0.0
132,132,0.0,0.0,0.0,0.0,0.0,0.0
133,133,0.0,0.0,0.0,0.0,0.0,0.0
